school_year,antigen,age,public_health_unit,coverage,year_of_birth
2013-2014,Diphtheria,7,Algoma Public Health,89.3,2006
2013-2014,Diphtheria,17,Algoma Public Health,88.2,1996
2013-2014,Diphtheria,7,Brant County Health Unit,90.2,2006
2013-2014,Diphtheria,17,Brant County Health Unit,82.4,1996
2013-2014,Diphtheria,7,Chatham-Kent Public Health,90.0,2006
2013-2014,Diphtheria,17,Chatham-Kent Public Health,88.1,1996
2013-2014,Diphtheria,7,City of Hamilton Public Health Services,80.0,2006
2013-2014,Diphtheria,17,City of Hamilton Public Health Services,17.5,1996
2013-2014,Diphtheria,7,Durham Region Health Department,95.3,2006
2013-2014,Diphtheria,17,Durham Region Health Department,83.2,1996
2013-2014,Diphtheria,7,Eastern Ontario Health Unit,89.1,2006
2013-2014,Diphtheria,17,Eastern Ontario Health Unit,72.5,1996
2013-2014,Diphtheria,7,Grey Bruce Public Health,89.3,2006
2013-2014,Diphtheria,17,Grey Bruce Public Health,86.4,1996
2013-2014,Diphtheria,7,Haldimand-Norfolk Health Unit,55.9,2006
2013-2014,Diphtheria,17,Haldimand-Norfolk Health Unit,78.9,1996
2013-2014,Diphtheria,7,"Haliburton, Kawartha, Pine Ridge District Health Unit",61.6,2006
2013-2014,Diphtheria,17,"Haliburton, Kawartha, Pine Ridge District Health Unit",69.2,1996
2013-2014,Diphtheria,7,Halton Region Public Health,67.4,2006
2013-2014,Diphtheria,17,Halton Region Public Health,69.0,1996
2013-2014,Diphtheria,7,Hastings Prince Edward Public Health,93.9,2006
2013-2014,Diphtheria,17,Hastings Prince Edward Public Health,85.9,1996
2013-2014,Diphtheria,7,Huron Perth Public Health,87.6,2006
2013-2014,Diphtheria,17,Huron Perth Public Health,90.0,1996
2013-2014,Diphtheria,7,"Kingston, Frontenac and Lennox & Addington Public Health",91.8,2006
2013-2014,Diphtheria,17,"Kingston, Frontenac and Lennox & Addington Public Health",57.2,1996
2013-2014,Diphtheria,7,Lambton Public Health,88.0,2006
2013-2014,Diphtheria,17,Lambton Public Health,77.4,1996
2013-2014,Diphtheria,7,"Leeds, Grenville & Lanark District Health Unit",80.7,2006
2013-2014,Diphtheria,17,"Leeds, Grenville & Lanark District Health Unit",61.6,1996
2013-2014,Diphtheria,7,Middlesex-London Health Unit,79.4,2006
2013-2014,Diphtheria,17,Middlesex-London Health Unit,80.0,1996
2013-2014,Diphtheria,7,Niagara Region Public Health,87.4,2006
2013-2014,Diphtheria,17,Niagara Region Public Health,79.2,1996
2013-2014,Diphtheria,7,North Bay Parry Sound District Health Unit,96.0,2006
2013-2014,Diphtheria,17,North Bay Parry Sound District Health Unit,83.0,1996
2013-2014,Diphtheria,7,Northwestern Health Unit,95.9,2006
2013-2014,Diphtheria,17,Northwestern Health Unit,89.7,1996
2013-2014,Diphtheria,7,Ontario,86.4,2006
2013-2014,Diphtheria,17,Ontario,72.2,1996
2013-2014,Diphtheria,7,Ottawa Public Health,81.5,2006
2013-2014,Diphtheria,17,Ottawa Public Health,71.3,1996
2013-2014,Diphtheria,7,Peel Public Health,91.0,2006
2013-2014,Diphtheria,17,Peel Public Health,75.2,1996
2013-2014,Diphtheria,7,Peterborough Public Health,80.5,2006
2013-2014,Diphtheria,17,Peterborough Public Health,69.1,1996
2013-2014,Diphtheria,7,Porcupine Health Unit,92.2,2006
2013-2014,Diphtheria,17,Porcupine Health Unit,88.1,1996
2013-2014,Diphtheria,7,Public Health Sudbury & Districts,85.0,2006
2013-2014,Diphtheria,17,Public Health Sudbury & Districts,78.7,1996
2013-2014,Diphtheria,7,Region of Waterloo Public Health and Paramedic Services,94.1,2006
2013-2014,Diphtheria,17,Region of Waterloo Public Health and Paramedic Services,78.3,1996
2013-2014,Diphtheria,7,Renfrew County and District Health Unit,94.8,2006
2013-2014,Diphtheria,17,Renfrew County and District Health Unit,79.6,1996
2013-2014,Diphtheria,7,Simcoe Muskoka District Health Unit,86.3,2006
2013-2014,Diphtheria,17,Simcoe Muskoka District Health Unit,73.0,1996
2013-2014,Diphtheria,7,Southwestern Public Health,84.9,2006
2013-2014,Diphtheria,17,Southwestern Public Health,87.5,1996
