Year,Antigen,Age,Public_health_unit,Coverage
2024-2025,Diphtheria,5,Algoma Public Health,50.4
2024-2025,Diphtheria,6,Algoma Public Health,59.6
2024-2025,Diphtheria,7,Algoma Public Health,71.2
2024-2025,Diphtheria,8,Algoma Public Health,88.7
2024-2025,Diphtheria,9,Algoma Public Health,90.6
2024-2025,Diphtheria,10,Algoma Public Health,91.8
2024-2025,Diphtheria,11,Algoma Public Health,90.1
2024-2025,Diphtheria,12,Algoma Public Health,93.4
2024-2025,Diphtheria,13,Algoma Public Health,93.1
2024-2025,Diphtheria,14,Algoma Public Health,80.1
2024-2025,Diphtheria,15,Algoma Public Health,87
2024-2025,Diphtheria,16,Algoma Public Health,86.9
2024-2025,Diphtheria,17,Algoma Public Health,83.9
2024-2025,HepB,12,Algoma Public Health,63.3
2024-2025,HepB,13,Algoma Public Health,73.8
2024-2025,HepB,14,Algoma Public Health,75
2024-2025,HepB,15,Algoma Public Health,74.8
2024-2025,HepB,16,Algoma Public Health,61.5
2024-2025,HepB,17,Algoma Public Health,67.6
2024-2025,Hib,5,Algoma Public Health,74.9
2024-2025,Hib,6,Algoma Public Health,72.4
2024-2025,Hib,7,Algoma Public Health,74
2024-2025,Hib,8,Algoma Public Health,85.9
2024-2025,Hib,9,Algoma Public Health,85.6
2024-2025,Hib,10,Algoma Public Health,88.8
2024-2025,Hib,11,Algoma Public Health,87.5
2024-2025,Hib,12,Algoma Public Health,87.7
2024-2025,HPV,12,Algoma Public Health,59.7
2024-2025,HPV,13,Algoma Public Health,69.9
2024-2025,HPV,14,Algoma Public Health,69.2
2024-2025,HPV,15,Algoma Public Health,68.7
2024-2025,HPV,16,Algoma Public Health,57.4
2024-2025,HPV,17,Algoma Public Health,63.4
2024-2025,MCC,5,Algoma Public Health,82.2
2024-2025,MCC,6,Algoma Public Health,83.1
2024-2025,MCC,7,Algoma Public Health,85.4
2024-2025,MCC,8,Algoma Public Health,94.8
2024-2025,MCC,9,Algoma Public Health,94.8
2024-2025,MCC,10,Algoma Public Health,96.9
2024-2025,MCC,11,Algoma Public Health,96.5
2024-2025,MCC,12,Algoma Public Health,98.5
2024-2025,MCV4,12,Algoma Public Health,79.2
2024-2025,MCV4,13,Algoma Public Health,87.9
2024-2025,MCV4,14,Algoma Public Health,94.3
2024-2025,MCV4,15,Algoma Public Health,95.4
2024-2025,MCV4,16,Algoma Public Health,93.4
2024-2025,MCV4,17,Algoma Public Health,93.2
2024-2025,Measles,5,Algoma Public Health,49.8
2024-2025,Measles,6,Algoma Public Health,59.8
2024-2025,Measles,7,Algoma Public Health,72.5
2024-2025,Measles,8,Algoma Public Health,89.3
2024-2025,Measles,9,Algoma Public Health,91.7
2024-2025,Measles,10,Algoma Public Health,91.7
2024-2025,Measles,11,Algoma Public Health,91.9
2024-2025,Measles,12,Algoma Public Health,94.2
2024-2025,Measles,13,Algoma Public Health,94.4
2024-2025,Measles,14,Algoma Public Health,95.7
2024-2025,Measles,15,Algoma Public Health,97.3
2024-2025,Measles,16,Algoma Public Health,97.4
2024-2025,Measles,17,Algoma Public Health,96.8
2024-2025,Mumps,5,Algoma Public Health,49.5
2024-2025,Mumps,6,Algoma Public Health,59.6
2024-2025,Mumps,7,Algoma Public Health,72.1
2024-2025,Mumps,8,Algoma Public Health,89.1
2024-2025,Mumps,9,Algoma Public Health,91.4
2024-2025,Mumps,10,Algoma Public Health,91.4
2024-2025,Mumps,11,Algoma Public Health,91.8
2024-2025,Mumps,12,Algoma Public Health,94.1
2024-2025,Mumps,13,Algoma Public Health,94.3
2024-2025,Mumps,14,Algoma Public Health,95.6
2024-2025,Mumps,15,Algoma Public Health,97.3
2024-2025,Mumps,16,Algoma Public Health,97.4
2024-2025,Mumps,17,Algoma Public Health,96.8
2024-2025,Pertussis,5,Algoma Public Health,50.3
2024-2025,Pertussis,6,Algoma Public Health,59.6
2024-2025,Pertussis,7,Algoma Public Health,71.2
2024-2025,Pertussis,8,Algoma Public Health,88.7
2024-2025,Pertussis,9,Algoma Public Health,90.6
2024-2025,Pertussis,10,Algoma Public Health,91.8
2024-2025,Pertussis,11,Algoma Public Health,90.1
2024-2025,Pertussis,12,Algoma Public Health,93.4
2024-2025,Pertussis,13,Algoma Public Health,93
2024-2025,Pertussis,14,Algoma Public Health,79.9
2024-2025,Pertussis,15,Algoma Public Health,87
2024-2025,Pertussis,16,Algoma Public Health,86.9
2024-2025,Pertussis,17,Algoma Public Health,83.6
2024-2025,Pneumo,5,Algoma Public Health,76.4
2024-2025,Pneumo,6,Algoma Public Health,76.5
2024-2025,Pneumo,7,Algoma Public Health,78.9
2024-2025,Pneumo,8,Algoma Public Health,88.3
2024-2025,Pneumo,9,Algoma Public Health,88
2024-2025,Pneumo,10,Algoma Public Health,90.7
2024-2025,Pneumo,11,Algoma Public Health,88.1
2024-2025,Pneumo,12,Algoma Public Health,88.5
2024-2025,Polio,5,Algoma Public Health,49.5
2024-2025,Polio,6,Algoma Public Health,58.9
2024-2025,Polio,7,Algoma Public Health,70.5
2024-2025,Polio,8,Algoma Public Health,88.3
2024-2025,Polio,9,Algoma Public Health,91.1
2024-2025,Polio,10,Algoma Public Health,91.9
2024-2025,Polio,11,Algoma Public Health,91.1
2024-2025,Polio,12,Algoma Public Health,93.9
2024-2025,Polio,13,Algoma Public Health,93.3
2024-2025,Polio,14,Algoma Public Health,95.2
2024-2025,Polio,15,Algoma Public Health,96.2
2024-2025,Polio,16,Algoma Public Health,96.6
2024-2025,Polio,17,Algoma Public Health,95.3
2024-2025,Rota,5,Algoma Public Health,60.9
2024-2025,Rota,6,Algoma Public Health,68.6
2024-2025,Rota,7,Algoma Public Health,72.9
2024-2025,Rubella,5,Algoma Public Health,83.9
2024-2025,Rubella,6,Algoma Public Health,84.8
2024-2025,Rubella,7,Algoma Public Health,86.7
2024-2025,Rubella,8,Algoma Public Health,95.8
2024-2025,Rubella,9,Algoma Public Health,96.4
2024-2025,Rubella,10,Algoma Public Health,97.9
2024-2025,Rubella,11,Algoma Public Health,97.6
2024-2025,Rubella,12,Algoma Public Health,98
2024-2025,Rubella,13,Algoma Public Health,97.4
2024-2025,Rubella,14,Algoma Public Health,97.7
2024-2025,Rubella,15,Algoma Public Health,98.3
2024-2025,Rubella,16,Algoma Public Health,98.7
