Public_health_unit,Antigen,Age,Year,Coverage
Algoma Public Health,Diphtheria,17,2015-2016,87.6
Algoma Public Health,Diphtheria,7,2015-2016,91.8
Algoma Public Health,HepB,12,2015-2016,72.8
Algoma Public Health,Hib,7,2015-2016,93.5
Algoma Public Health,MCC,7,2015-2016,97.4
Algoma Public Health,MCV4,12,2015-2016,85.8
Algoma Public Health,Measles,17,2015-2016,97.8
Algoma Public Health,Measles,7,2015-2016,96.4
Algoma Public Health,Mumps,17,2015-2016,97.8
Algoma Public Health,Mumps,7,2015-2016,96.4
Algoma Public Health,Pertussis,17,2015-2016,87.1
Algoma Public Health,Pertussis,7,2015-2016,91.8
Algoma Public Health,Pneumo,7,2015-2016,90.4
Algoma Public Health,Polio,17,2015-2016,97.4
Algoma Public Health,Polio,7,2015-2016,91.8
Algoma Public Health,Rubella,17,2015-2016,98.6
Algoma Public Health,Rubella,7,2015-2016,99.1
Algoma Public Health,Tetanus,17,2015-2016,87.6
Algoma Public Health,Tetanus,7,2015-2016,91.8
Algoma Public Health,Varicella,7,2015-2016,61.6
Algoma Public Health,Diphtheria,17,2016-2017,91.2
Algoma Public Health,Diphtheria,7,2016-2017,94.4
Algoma Public Health,HPV,12,2016-2017,61.5
Algoma Public Health,HepB,12,2016-2017,73.4
Algoma Public Health,Hib,7,2016-2017,91.9
Algoma Public Health,MCC,7,2016-2017,98
Algoma Public Health,MCV4,12,2016-2017,84.8
Algoma Public Health,Measles,17,2016-2017,98.5
Algoma Public Health,Measles,7,2016-2017,96.4
Algoma Public Health,Mumps,17,2016-2017,98.5
Algoma Public Health,Mumps,7,2016-2017,96.4
Algoma Public Health,Pertussis,17,2016-2017,90.5
Algoma Public Health,Pertussis,7,2016-2017,94.4
Algoma Public Health,Pneumo,7,2016-2017,87.1
Algoma Public Health,Polio,17,2016-2017,97.7
Algoma Public Health,Polio,7,2016-2017,94.3
Algoma Public Health,Rubella,17,2016-2017,99.2
Algoma Public Health,Rubella,7,2016-2017,98.3
Algoma Public Health,Tetanus,17,2016-2017,91.2
Algoma Public Health,Tetanus,7,2016-2017,94.4
Algoma Public Health,Varicella,7,2016-2017,72.6
Algoma Public Health,Diphtheria,17,2017-2018,88.6
Algoma Public Health,Diphtheria,7,2017-2018,87.3
Algoma Public Health,HPV,12,2017-2018,55.8
Algoma Public Health,HepB,12,2017-2018,64.9
Algoma Public Health,Hib,7,2017-2018,92
Algoma Public Health,MCC,7,2017-2018,98.1
Algoma Public Health,MCV4,12,2017-2018,81.5
Algoma Public Health,Measles,17,2017-2018,98.5
Algoma Public Health,Measles,7,2017-2018,88
Algoma Public Health,Mumps,17,2017-2018,98.4
Algoma Public Health,Mumps,7,2017-2018,88
Algoma Public Health,Pertussis,17,2017-2018,88.6
Algoma Public Health,Pertussis,7,2017-2018,87.3
Algoma Public Health,Pneumo,7,2017-2018,75.7
Algoma Public Health,Polio,17,2017-2018,97.5
Algoma Public Health,Polio,7,2017-2018,87.3
Algoma Public Health,Rubella,17,2017-2018,98.9
Algoma Public Health,Rubella,7,2017-2018,98.2
Algoma Public Health,Tetanus,17,2017-2018,88.6
Algoma Public Health,Tetanus,7,2017-2018,87.3
Algoma Public Health,Varicella,7,2017-2018,84
Algoma Public Health,Diphtheria,17,2018-2019,81.3
Algoma Public Health,Diphtheria,7,2018-2019,75
Algoma Public Health,HPV,12,2018-2019,57.5
Algoma Public Health,HPV,17,2018-2019,68
Algoma Public Health,HepB,12,2018-2019,64.9
Algoma Public Health,HepB,17,2018-2019,85.2
Algoma Public Health,Hib,7,2018-2019,92.3
Algoma Public Health,MCC,7,2018-2019,97.1
Algoma Public Health,MCV4,12,2018-2019,81.1
Algoma Public Health,MCV4,17,2018-2019,97.4
Algoma Public Health,Measles,17,2018-2019,98.3
Algoma Public Health,Measles,7,2018-2019,75.9
Algoma Public Health,Mumps,17,2018-2019,98.3
Algoma Public Health,Mumps,7,2018-2019,75.9
Algoma Public Health,Pertussis,17,2018-2019,81.2
Algoma Public Health,Pertussis,7,2018-2019,75
Algoma Public Health,Pneumo,7,2018-2019,88.4
Algoma Public Health,Polio,17,2018-2019,97.6
Algoma Public Health,Polio,7,2018-2019,75
Algoma Public Health,Rubella,17,2018-2019,99.1
Algoma Public Health,Rubella,7,2018-2019,97.6
Algoma Public Health,Tetanus,17,2018-2019,81.3
Algoma Public Health,Tetanus,7,2018-2019,75
Algoma Public Health,Varicella,7,2018-2019,72.2
Algoma Public Health,Diphtheria,17,2019-2020,71.8
Algoma Public Health,Diphtheria,7,2019-2020,80.1
Algoma Public Health,HPV,12,2019-2020,60
Algoma Public Health,HPV,17,2019-2020,69.8
Algoma Public Health,HepB,12,2019-2020,62.1
Algoma Public Health,HepB,17,2019-2020,83.6
Algoma Public Health,Hib,7,2019-2020,91.1
Algoma Public Health,MCC,7,2019-2020,97.2
Algoma Public Health,MCV4,12,2019-2020,92.1
Algoma Public Health,MCV4,17,2019-2020,95.1
Algoma Public Health,Measles,17,2019-2020,96.4
Algoma Public Health,Measles,7,2019-2020,80.6
Algoma Public Health,Mumps,17,2019-2020,96.4
Algoma Public Health,Mumps,7,2019-2020,80.6
Algoma Public Health,Pertussis,17,2019-2020,71.8
Algoma Public Health,Pertussis,7,2019-2020,80.1
Algoma Public Health,Pneumo,7,2019-2020,91.5
Algoma Public Health,Polio,17,2019-2020,95.6
Algoma Public Health,Polio,7,2019-2020,80.2
Algoma Public Health,Rota,7,2019-2020,70.6
Algoma Public Health,Rubella,17,2019-2020,97.3
Algoma Public Health,Rubella,7,2019-2020,98
Algoma Public Health,Tetanus,17,2019-2020,71.8
Algoma Public Health,Tetanus,7,2019-2020,80.1
Algoma Public Health,Varicella,7,2019-2020,77.4
Algoma Public Health,Diphtheria,17,2020-2021,59.1
Algoma Public Health,Diphtheria,7,2020-2021,73.6
Algoma Public Health,HPV,12,2020-2021,50.6
Algoma Public Health,HPV,17,2020-2021,67.8
Algoma Public Health,HepB,12,2020-2021,55.2
Algoma Public Health,HepB,17,2020-2021,82.7
Algoma Public Health,Hib,7,2020-2021,92.4
Algoma Public Health,MCC,7,2020-2021,96.1
Algoma Public Health,MCV4,12,2020-2021,86.3
Algoma Public Health,MCV4,17,2020-2021,95.4
Algoma Public Health,Measles,17,2020-2021,96.7
Algoma Public Health,Measles,7,2020-2021,75.8
Algoma Public Health,Mumps,17,2020-2021,96.7
Algoma Public Health,Mumps,7,2020-2021,75.8
Algoma Public Health,Pertussis,17,2020-2021,59
Algoma Public Health,Pertussis,7,2020-2021,73.5
Algoma Public Health,Pneumo,7,2020-2021,92.3
Algoma Public Health,Polio,17,2020-2021,95.5
Algoma Public Health,Polio,7,2020-2021,74
Algoma Public Health,Rota,7,2020-2021,73.1
Algoma Public Health,Rubella,17,2020-2021,98
Algoma Public Health,Rubella,7,2020-2021,97.5
Algoma Public Health,Tetanus,17,2020-2021,59.1
Algoma Public Health,Tetanus,7,2020-2021,73.6
Algoma Public Health,Varicella,7,2020-2021,74.5
Algoma Public Health,Diphtheria,17,2021-2022,46.9
Algoma Public Health,Diphtheria,7,2021-2022,68.7
Algoma Public Health,HPV,12,2021-2022,61.5
