public_health_unit,outcome,surveillance_period,surveillance_week,start_of_time_period,end_of_time_period,number,population,number_per_100_000_population
Algoma Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,3,129995,2.0
Algoma Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,129995,0.8
Algoma Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,129995,0.0
Algoma Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,3,129995,2.0
Chatham-Kent Public Health,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
Chatham-Kent Public Health,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,114429,0.0
City of Hamilton Public Health Services,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,644603,0.0
City of Hamilton Public Health Services,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,644603,0.2
City of Hamilton Public Health Services,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,644603,0.2
City of Hamilton Public Health Services,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,644603,0.0
City of Hamilton Public Health Services,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,8,644603,1.3
City of Hamilton Public Health Services,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,9,644603,1.4
City of Hamilton Public Health Services,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,644603,0.1
City of Hamilton Public Health Services,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,644603,0.0
City of Hamilton Public Health Services,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,1,644603,0.1
City of Hamilton Public Health Services,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,644603,0.1
City of Hamilton Public Health Services,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,644603,0.0
City of Hamilton Public Health Services,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,644603,0.0
City of Hamilton Public Health Services,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,644603,0.0
Durham Region Health Department,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,809962,0.1
Durham Region Health Department,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,2,809962,0.2
Durham Region Health Department,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,Influenza hospital admissions,2025-26,23,2026-06-07,2026-06-13,1,809962,0.1
Durham Region Health Department,Influenza hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,Influenza hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,1,809962,0.1
Durham Region Health Department,RSV hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,RSV hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Durham Region Health Department,RSV hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,809962,0.0
Eastern Ontario Health Unit,COVID-19 deaths,2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital admissions,2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (due to infection),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
Eastern Ontario Health Unit,COVID-19 hospital bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,2,238452,0.8
Eastern Ontario Health Unit,"Combined COVID-19, influenza, and RSV hospital bed occupancy (total)",2025-26,23,2026-06-07,2026-06-13,2,238452,1.0
Eastern Ontario Health Unit,Influenza hospital ICU bed occupancy (total),2025-26,23,2026-06-07,2026-06-13,0,238452,0.0
