"Public health unit","Outcome","Week start date","Week end date","Surveillance period","Surveillance week","Number","Population","Number per 100,000 population"
Algoma Public Health,COVID-19 deaths,25AUG2024,31AUG2024,2024-25,35,0,126589,0
Algoma Public Health,COVID-19 deaths,01SEP2024,07SEP2024,2024-25,36,0,126589,0
Algoma Public Health,COVID-19 deaths,08SEP2024,14SEP2024,2024-25,37,0,126589,0
Algoma Public Health,COVID-19 deaths,15SEP2024,21SEP2024,2024-25,38,0,126589,0
Algoma Public Health,COVID-19 deaths,22SEP2024,28SEP2024,2024-25,39,1,126589,0.8
Algoma Public Health,COVID-19 deaths,29SEP2024,05OCT2024,2024-25,40,0,126589,0
Algoma Public Health,COVID-19 deaths,06OCT2024,12OCT2024,2024-25,41,0,126589,0
Algoma Public Health,COVID-19 deaths,13OCT2024,19OCT2024,2024-25,42,0,126589,0
Algoma Public Health,COVID-19 deaths,20OCT2024,26OCT2024,2024-25,43,0,126589,0
Algoma Public Health,COVID-19 deaths,27OCT2024,02NOV2024,2024-25,44,1,126589,0.8
Algoma Public Health,COVID-19 deaths,03NOV2024,09NOV2024,2024-25,45,0,126589,0
Algoma Public Health,COVID-19 deaths,10NOV2024,16NOV2024,2024-25,46,0,126589,0
Algoma Public Health,COVID-19 deaths,17NOV2024,23NOV2024,2024-25,47,0,126589,0
Algoma Public Health,COVID-19 deaths,24NOV2024,30NOV2024,2024-25,48,0,126589,0
Algoma Public Health,COVID-19 deaths,01DEC2024,07DEC2024,2024-25,49,0,126589,0
Algoma Public Health,COVID-19 deaths,08DEC2024,14DEC2024,2024-25,50,0,126589,0
Algoma Public Health,COVID-19 deaths,15DEC2024,21DEC2024,2024-25,51,0,126589,0
Algoma Public Health,COVID-19 deaths,22DEC2024,28DEC2024,2024-25,52,0,126589,0
Algoma Public Health,COVID-19 deaths,29DEC2024,04JAN2025,2024-25,01,0,126589,0
Algoma Public Health,COVID-19 deaths,05JAN2025,11JAN2025,2024-25,02,0,126589,0
Algoma Public Health,COVID-19 deaths,12JAN2025,18JAN2025,2024-25,03,0,126589,0
Algoma Public Health,COVID-19 deaths,19JAN2025,25JAN2025,2024-25,04,0,126589,0
Algoma Public Health,COVID-19 deaths,26JAN2025,01FEB2025,2024-25,05,1,126589,0.8
Algoma Public Health,COVID-19 deaths,02FEB2025,08FEB2025,2024-25,06,0,126589,0
Algoma Public Health,COVID-19 deaths,09FEB2025,15FEB2025,2024-25,07,0,126589,0
Algoma Public Health,COVID-19 deaths,16FEB2025,22FEB2025,2024-25,08,0,126589,0
Algoma Public Health,COVID-19 deaths,23FEB2025,01MAR2025,2024-25,09,0,126589,0
Algoma Public Health,COVID-19 deaths,02MAR2025,08MAR2025,2024-25,10,0,126589,0
Algoma Public Health,COVID-19 deaths,09MAR2025,15MAR2025,2024-25,11,0,126589,0
Algoma Public Health,COVID-19 deaths,16MAR2025,22MAR2025,2024-25,12,0,126589,0
Algoma Public Health,COVID-19 deaths,23MAR2025,29MAR2025,2024-25,13,0,126589,0
Algoma Public Health,COVID-19 deaths,30MAR2025,05APR2025,2024-25,14,0,126589,0
Algoma Public Health,COVID-19 deaths,06APR2025,12APR2025,2024-25,15,0,126589,0
Algoma Public Health,COVID-19 deaths,13APR2025,19APR2025,2024-25,16,0,126589,0
Algoma Public Health,COVID-19 deaths,20APR2025,26APR2025,2024-25,17,0,126589,0
Algoma Public Health,COVID-19 deaths,27APR2025,03MAY2025,2024-25,18,0,126589,0
Algoma Public Health,COVID-19 deaths,04MAY2025,10MAY2025,2024-25,19,0,126589,0
Algoma Public Health,COVID-19 deaths,11MAY2025,17MAY2025,2024-25,20,0,126589,0
Algoma Public Health,COVID-19 deaths,18MAY2025,24MAY2025,2024-25,21,0,126589,0
Algoma Public Health,COVID-19 deaths,25MAY2025,31MAY2025,2024-25,22,0,126589,0
Algoma Public Health,COVID-19 deaths,01JUN2025,07JUN2025,2024-25,23,0,126589,0
Algoma Public Health,COVID-19 deaths,08JUN2025,14JUN2025,2024-25,24,0,126589,0
Algoma Public Health,COVID-19 deaths,15JUN2025,21JUN2025,2024-25,25,0,126589,0
Algoma Public Health,COVID-19 deaths,22JUN2025,28JUN2025,2024-25,26,0,126589,0
Algoma Public Health,COVID-19 deaths,29JUN2025,05JUL2025,2024-25,27,0,126589,0
Algoma Public Health,COVID-19 deaths,06JUL2025,12JUL2025,2024-25,28,0,126589,0
Algoma Public Health,COVID-19 deaths,13JUL2025,19JUL2025,2024-25,29,0,126589,0
Algoma Public Health,COVID-19 deaths,20JUL2025,26JUL2025,2024-25,30,0,126589,0
Algoma Public Health,COVID-19 deaths,27JUL2025,02AUG2025,2024-25,31,0,126589,0
Algoma Public Health,COVID-19 deaths,03AUG2025,09AUG2025,2024-25,32,0,126589,0
Algoma Public Health,COVID-19 deaths,10AUG2025,16AUG2025,2024-25,33,0,126589,0
Algoma Public Health,COVID-19 deaths,17AUG2025,23AUG2025,2024-25,34,0,126589,0
Algoma Public Health,COVID-19 deaths,24AUG2025,30AUG2025,2025-26,35,0,129995,0
Algoma Public Health,COVID-19 deaths,31AUG2025,06SEP2025,2025-26,36,0,129995,0
Algoma Public Health,COVID-19 deaths,07SEP2025,13SEP2025,2025-26,37,0,129995,0
